38.677	2.5	1
41.249	2.5	1
43.808	2.5	1
46.367	2.5	1
48.926	2.5	1
51.485	2.5	1
54.057	2.5	1
56.616	2.5	1
59.175	2.5	1
61.734	2.5	1
110.007	2.5	1
112.566	2.5	1
115.125	2.5	1
117.684	2.5	1
120.243	2.5	1
122.802	2.5	1
125.361	2.5	1
127.92	2.5	1
130.479	2.5	1
133.038	2.5	1
224.493	2.5	1
227.078	2.5	1
229.651	2.5	1
232.223	2.5	1
234.795	2.5	1
237.381	2.5	1
239.953	2.5	1
242.539	2.5	1
245.111	2.5	1
247.697	2.5	1
252.774	2.5	1
255.36	2.5	1
257.932	2.5	1
260.531	2.5	1
263.103	2.5	1
265.676	2.5	1
268.248	2.5	1
270.834	2.5	1
273.406	2.5	1
275.978	2.5	1
